β/l z/l KρH KθH KMH KQH KρM KθM KMM KQM
4.0 0.0000 1.0008 1.0015 0.0000 1.0000 -1.0015 1.0021 1.0000 0.0000
4.0 0.0625 0.7550 0.9488 0.1926 0.5616 -0.5624 0.7567 0.9472 0.1929
4.0 0.1250 0.5323 0.8247 0.2907 0.2411 -0.2409 0.5344 0.8229 0.2910
4.0 0.1875 0.3452 0.6693 0.3218 0.0234 -0.0220 0.3478 0.6673 0.3219
4.0 0.2500 0.1979 0.5101 0.3093 -0.1108 0.1136 0.2010 0.5082 0.3090
4.0 0.3125 0.0890 0.3641 0.2717 -0.1810 0.1855 0.0926 0.3626 0.2705
4.0 0.3750 0.0140 0.2403 0.2226 -0.2055 0.2118 0.0178 0.2397 0.2200
4.0 0.4375 -0.0332 0.1419 0.1715 -0.1996 0.2079 -0.0295 0.1430 0.1671
4.0 0.5000 -0.0590 0.0682 0.1243 -0.1758 0.1858 -0.0558 0.0720 0.1176
4.0 0.5625 -0.0692 0.0163 0.0843 -0.1432 0.1545 -0.0674 0.0242 0.0749
4.0 0.6250 -0.0687 -0.0176 0.0529 -0.1084 0.1200 -0.0696 -0.0043 0.0406
4.0 0.6875 -0.0615 -0.0379 0.0299 -0.0756 0.0858 -0.0665 -0.0178 0.0149
4.0 0.7500 -0.0505 -0.0488 0.0147 -0.0475 0.0538 -0.0616 -0.0206 -0.0025
4.0 0.8125 -0.0376 -0.0536 0.0057 -0.0255 0.0242 -0.0568 -0.0166 -0.0122
4.0 0.8750 -0.0239 -0.0552 0.0014 -0.0101 -0.0033 -0.0535 -0.0096 -0.0148
4.0 0.9375 -0.0101 -0.0555 0.0001 -0.0016 -0.0296 -0.0520 -0.0029 -0.0106
4.0 1.0000 0.0038 -0.0555 0.0000 0.0000 -0.0555 -0.0517 -0.0000 0.0000
