β/l z/l KρH KθH KMH KQH KρM KθM KMM KQM
2.0 0.0000 1.1376 1.1341 0.0000 1.0000 -1.0762 1.0762 1.0000 0.0000
2.0 0.0625 0.9964 1.1200 0.1080 0.7333 -0.8807 0.9519 0.9836 0.1256
2.0 0.1250 0.8586 1.0828 0.1848 0.5015 -0.6579 0.8314 0.9397 0.2214
2.0 0.1875 0.7264 1.0298 0.2347 0.3035 -0.4644 0.7178 0.8751 0.2913
2.0 0.2500 0.6015 0.9673 0.2620 0.1377 -0.2982 0.6133 0.7959 0.3387
2.0 0.3125 0.4848 0.9004 0.2704 0.0021 -0.1569 0.5192 0.7073 0.3669
2.0 0.3750 0.3764 0.8333 0.2637 -0.1054 -0.0376 0.4366 0.6138 0.3788
2.0 0.4375 0.2763 0.7695 0.2452 -0.1868 0.0624 0.3658 0.5191 0.3771
2.0 0.5000 0.1838 0.7115 0.2180 -0.2442 0.1463 0.3068 0.4262 0.3639
2.0 0.5625 0.0981 0.6610 0.1851 -0.2793 0.2168 0.2591 0.3379 0.3411
2.0 0.6250 0.0182 0.6192 0.1491 -0.2937 0.2767 0.2220 0.2564 0.3101
2.0 0.6875 -0.0571 0.5865 0.1125 -0.2887 0.3286 0.1946 0.1834 0.2722
2.0 0.7500 -0.1288 0.5628 0.0776 -0.2654 0.3747 0.1757 0.1208 0.2282
2.0 0.8125 -0.1981 0.5474 0.0468 -0.2245 0.4171 0.1640 0.0698 0.1787
2.0 0.8750 -0.2659 0.5389 0.0222 -0.1665 0.4572 0.1578 0.0318 0.1241
2.0 0.9375 -0.3330 0.5356 0.0059 -0.0916 0.4963 0.1554 0.0082 0.0645
2.0 1.0000 -0.3999 0.5351 0.0000 -0.0000 0.5351 0.1551 0.0000 0.0000
