β/l z/l KρH KθH KMH KQH KρM KθM KMM KQM
3.0 0.0000 1.0066 1.0004 0.0000 1.0000 -1.0004 1.0004 1.0000 0.0000
3.0 0.0625 0.8210 0.9695 0.1543 0.6575 -0.6589 0.8183 0.9690 0.1545
3.0 0.1250 0.6459 0.8919 0.2508 0.3829 -0.3854 0.6433 0.8913 0.2514
3.0 0.1875 0.4832 0.7870 0.3018 0.1709 -0.1743 0.4857 0.7862 0.3029
3.0 0.2500 0.3515 0.6698 0.3184 0.0141 -0.0184 0.3493 0.6684 0.3202
3.0 0.3125 0.2371 0.5514 0.3101 -0.0956 0.0905 0.2352 0.5491 0.3127
3.0 0.3750 0.1444 0.4394 0.2850 -0.1664 0.1607 0.1429 0.4360 0.2887
3.0 0.4375 0.0716 0.3389 0.2496 -0.2063 0.2002 0.0710 0.3339 0.2544
3.0 0.5000 0.0164 0.2528 0.2091 -0.2233 0.2162 0.0168 0.2458 0.2150
3.0 0.5625 -0.0242 0.1823 0.1673 -0.2205 0.2147 -0.0222 0.1728 0.1744
3.0 0.6250 -0.0529 0.1271 0.1272 -0.2057 0.2011 -0.0489 0.1148 0.1353
3.0 0.6875 -0.0727 0.0864 0.0908 -0.1819 0.1793 -0.0661 0.0709 0.0995
3.0 0.7500 -0.0861 0.0584 0.0594 -0.1519 0.1524 -0.0763 0.0396 0.0684
3.0 0.8125 -0.0953 0.0411 0.0340 -0.1178 0.1227 -0.0816 0.0189 0.0426
3.0 0.8750 -0.1021 0.0321 0.0154 -0.0807 0.0916 -0.0839 0.0069 0.0225
3.0 0.9375 -0.1077 0.0287 0.0039 -0.0414 0.0599 -0.0846 0.0014 0.0083
3.0 1.0000 -0.1130 0.0282 0.0000 -0.0000 0.0282 -0.0847 0.0000 0.0000
